room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
0.0,1.0,114.0,2.45,328.0,75
1.0,1.0,1.0,0.03,0.0,300
1.0,2.0,1.0,0.05,0.0,300
0.0,1.0,60.0,2.21,90.0,125
0.0,5.0,1.0,0.03,0.0,50
0.0,1.0,6.0,0.23,0.0,60
1.0,3.0,10.0,0.84,0.0,75
0.0,1.0,3.0,1.11,180.0,70
1.0,3.0,1.0,1.0,113.0,300
1.0,2.0,2.0,0.79,0.0,100
1.0,2.0,73.0,2.11,345.0,135
0.0,2.0,9.0,2.76,22.0,60
1.0,2.0,10.0,0.86,0.0,63
2.0,1.0,67.0,3.31,81.0,60
1.0,1.0,14.0,3.09,85.0,90
1.0,3.0,4.0,0.21,3.0,250
1.0,2.0,5.0,1.9,18.0,215
1.0,3.0,8.0,0.33,0.0,117
1.0,7.0,3.0,0.13,0.0,140
1.0,2.0,4.0,0.3,0.0,110
0.0,1.0,12.0,1.24,2.0,100
0.0,3.0,2.0,0.08,0.0,65
0.0,3.0,20.0,0.95,48.0,75
0.0,2.0,59.0,3.7,157.0,39
1.0,3.0,23.0,1.06,13.0,145
1.0,2.0,20.0,0.85,243.0,500
1.0,2.0,6.0,1.98,297.0,230
1.0,2.0,8.0,0.23,58.0,150
0.0,4.0,47.0,1.28,249.0,65
0.0,7.0,41.0,2.67,0.0,49
0.0,1.0,46.0,1.04,16.0,90
1.0,2.0,34.0,1.55,239.0,300
1.0,7.0,1.0,0.02,0.0,999
0.0,2.0,153.0,6.59,14.0,43
0.0,4.0,36.0,0.71,294.0,150
0.0,5.0,4.0,0.15,0.0,21
1.0,5.0,21.0,1.72,0.0,175
1.0,2.0,1.0,1.0,234.0,115
0.0,2.0,3.0,0.23,0.0,60
0.0,2.0,1.0,0.15,0.0,30
1.0,1.0,1.0,0.02,0.0,168
0.0,2.0,1.0,0.52,352.0,65
1.0,2.0,8.0,2.64,327.0,205
0.0,3.0,112.0,2.29,144.0,80
1.0,4.0,12.0,0.17,0.0,115
0.0,7.0,21.0,0.75,0.0,63
0.0,3.0,80.0,3.7,16.0,69
1.0,3.0,24.0,2.55,308.0,170
1.0,4.0,7.0,2.47,136.0,195
0.0,2.0,2.0,0.08,0.0,45
0.0,3.0,164.0,2.34,27.0,76
0.0,5.0,6.0,0.07,0.0,75
0.0,2.0,8.0,0.16,363.0,90
0.0,3.0,46.0,0.72,292.0,40
1.0,2.0,13.0,1.02,1.0,145
0.0,1.0,1.0,0.08,0.0,60
0.0,3.0,9.0,4.58,94.0,95
0.0,3.0,1.0,0.02,0.0,99
0.0,2.0,2.0,0.09,0.0,50
1.0,2.0,1.0,0.18,0.0,100
0.0,7.0,12.0,0.25,0.0,80
1.0,1.0,19.0,0.3,0.0,140
0.0,1.0,41.0,5.97,2.0,75
1.0,2.0,19.0,3.0,340.0,97
0.0,4.0,18.0,0.83,322.0,33
0.0,1.0,6.0,1.06,87.0,249
1.0,2.0,1.0,1.0,74.0,125
0.0,2.0,9.0,0.71,0.0,80
2.0,1.0,21.0,1.6,0.0,30
1.0,3.0,2.0,0.1,0.0,97
1.0,3.0,10.0,0.28,0.0,250
0.0,7.0,54.0,4.98,311.0,80
0.0,4.0,17.0,0.76,0.0,90
1.0,4.0,10.0,1.8,26.0,135
0.0,2.0,1.0,0.51,262.0,50
0.0,5.0,8.0,0.85,51.0,79
0.0,3.0,5.0,0.43,0.0,60
1.0,1.0,3.0,0.3,0.0,119
0.0,5.0,4.0,0.35,0.0,99
1.0,1.0,22.0,1.01,0.0,115
0.0,7.0,1.0,0.05,0.0,42
0.0,2.0,3.0,0.48,0.0,39
1.0,2.0,29.0,0.68,176.0,225
2.0,1.0,4.0,0.08,0.0,60
1.0,3.0,12.0,0.27,1.0,150
0.0,2.0,1.0,0.42,359.0,99
1.0,4.0,25.0,0.23,0.0,100
0.0,1.0,23.0,3.69,240.0,100
1.0,1.0,1.0,0.02,0.0,280
0.0,1.0,2.0,0.09,0.0,45
1.0,2.0,59.0,5.65,13.0,70
1.0,4.0,69.0,1.93,114.0,150
0.0,1.0,1.0,0.02,0.0,45
0.0,1.0,6.0,0.12,0.0,135
1.0,3.0,8.0,0.15,183.0,115
1.0,4.0,60.0,0.85,332.0,220
1.0,7.0,1.0,0.05,0.0,105
1.0,1.0,8.0,0.57,239.0,163
0.0,3.0,23.0,1.77,58.0,74
1.0,2.0,12.0,0.19,0.0,350
0.0,4.0,18.0,0.37,45.0,71
1.0,3.0,81.0,5.8,189.0,200
1.0,1.0,29.0,2.23,24.0,150
2.0,10.0,1.0,1.0,299.0,25
1.0,2.0,9.0,0.82,0.0,199
1.0,5.0,2.0,0.07,0.0,325
1.0,5.0,2.0,0.26,323.0,101
0.0,1.0,5.0,2.42,51.0,200
0.0,1.0,56.0,1.14,361.0,149
0.0,1.0,44.0,4.57,155.0,50
0.0,1.0,11.0,0.25,0.0,65
0.0,2.0,3.0,1.8,0.0,90
0.0,1.0,25.0,2.17,351.0,50
1.0,4.0,42.0,2.42,299.0,190
1.0,3.0,2.0,0.98,5.0,109
1.0,5.0,20.0,0.52,18.0,102
0.0,2.0,61.0,1.95,26.0,30
0.0,1.0,1.0,0.07,90.0,45
1.0,3.0,10.0,0.43,0.0,199
1.0,5.0,19.0,0.39,1.0,120
0.0,5.0,103.0,1.25,350.0,295
0.0,1.0,7.0,0.14,0.0,45
0.0,1.0,204.0,5.92,163.0,60
0.0,1.0,291.0,6.23,68.0,69
0.0,4.0,1.0,0.13,82.0,75
0.0,1.0,63.0,5.71,267.0,110
1.0,2.0,53.0,3.44,215.0,125
1.0,4.0,19.0,0.36,0.0,119
0.0,1.0,8.0,6.32,36.0,68
1.0,3.0,5.0,0.11,0.0,120
1.0,5.0,2.0,0.06,0.0,80
1.0,2.0,7.0,0.52,0.0,275
1.0,5.0,2.0,0.11,0.0,80
0.0,1.0,102.0,2.56,269.0,89
0.0,3.0,5.0,0.13,0.0,49
0.0,2.0,28.0,2.69,78.0,80
0.0,2.0,2.0,0.17,0.0,70
0.0,3.0,74.0,1.38,285.0,70
1.0,3.0,1.0,0.14,90.0,180
1.0,2.0,15.0,0.41,0.0,130
0.0,1.0,43.0,4.8,52.0,75
0.0,1.0,86.0,1.83,233.0,61
2.0,4.0,15.0,0.81,0.0,50
1.0,1.0,69.0,1.52,257.0,299
1.0,7.0,1.0,0.61,43.0,73
0.0,1.0,3.0,0.49,86.0,60
1.0,4.0,6.0,0.18,142.0,320
0.0,3.0,15.0,1.03,163.0,38
0.0,3.0,7.0,0.38,357.0,35
0.0,1.0,9.0,3.18,170.0,57
1.0,2.0,145.0,5.0,127.0,175
0.0,1.0,7.0,0.3,0.0,55
0.0,1.0,203.0,4.13,211.0,155
0.0,3.0,12.0,0.37,201.0,45
1.0,1.0,3.0,0.05,0.0,110
2.0,2.0,155.0,2.11,325.0,44
2.0,1.0,8.0,0.11,364.0,45
1.0,3.0,203.0,4.27,271.0,200
1.0,4.0,12.0,0.14,203.0,149
0.0,1.0,7.0,2.21,176.0,70
0.0,5.0,60.0,2.22,50.0,169
0.0,2.0,37.0,1.23,0.0,150
0.0,3.0,36.0,3.4,292.0,75
2.0,1.0,1.0,1.0,179.0,150
0.0,4.0,104.0,3.29,53.0,55
1.0,1.0,18.0,2.55,46.0,265
0.0,1.0,21.0,1.1,291.0,20
0.0,3.0,6.0,0.17,0.0,130
0.0,2.0,2.0,0.05,0.0,80
1.0,1.0,7.0,0.51,156.0,190
0.0,1.0,25.0,0.7,0.0,82
1.0,1.0,4.0,1.01,3.0,170
0.0,1.0,59.0,2.11,362.0,70
1.0,4.0,5.0,0.07,0.0,175
1.0,4.0,1.0,0.06,0.0,50
0.0,3.0,23.0,0.61,18.0,112
0.0,2.0,24.0,2.14,365.0,82
0.0,1.0,4.0,0.42,362.0,47
1.0,4.0,27.0,0.37,197.0,275
0.0,3.0,5.0,0.36,281.0,42
1.0,7.0,4.0,0.13,89.0,175
1.0,1.0,112.0,2.99,244.0,45
0.0,5.0,1.0,0.02,0.0,38
0.0,1.0,16.0,1.84,310.0,40
0.0,1.0,25.0,5.95,205.0,45
1.0,3.0,11.0,5.08,152.0,225
1.0,2.0,151.0,1.51,52.0,150
0.0,3.0,1.0,1.0,180.0,39
1.0,1.0,2.0,0.09,0.0,100
1.0,1.0,5.0,3.41,260.0,180
1.0,2.0,2.0,0.05,0.0,134
1.0,1.0,129.0,1.76,281.0,100
0.0,1.0,1.0,0.02,0.0,85
1.0,2.0,18.0,3.46,74.0,136
1.0,3.0,38.0,2.79,100.0,125
1.0,3.0,62.0,1.19,343.0,100
1.0,3.0,19.0,0.27,0.0,300
0.0,2.0,81.0,4.1,34.0,60
0.0,2.0,11.0,0.31,0.0,80
0.0,1.0,1.0,0.2,0.0,40
0.0,1.0,3.0,1.34,318.0,50
1.0,5.0,5.0,3.26,222.0,449
1.0,4.0,20.0,4.69,227.0,110
0.0,10.0,12.0,0.28,343.0,40
0.0,1.0,14.0,1.92,137.0,85
1.0,4.0,10.0,0.37,0.0,95
0.0,1.0,9.0,0.21,365.0,149
1.0,2.0,154.0,4.04,15.0,75
0.0,4.0,132.0,1.51,195.0,55
0.0,3.0,4.0,2.35,144.0,75
1.0,1.0,334.0,5.2,269.0,152
1.0,1.0,22.0,1.4,1.0,240
0.0,2.0,1.0,0.05,0.0,200
1.0,7.0,4.0,0.11,365.0,101
0.0,1.0,22.0,1.9,0.0,40
1.0,2.0,15.0,2.09,365.0,315
0.0,2.0,29.0,2.46,143.0,53
0.0,2.0,4.0,0.39,37.0,40
0.0,5.0,1.0,0.39,0.0,150
0.0,1.0,1.0,0.04,0.0,45
1.0,1.0,1.0,0.02,0.0,82
0.0,1.0,1.0,0.02,0.0,135
1.0,3.0,14.0,0.74,84.0,150
1.0,2.0,13.0,0.41,188.0,151
0.0,5.0,7.0,0.84,180.0,125
0.0,3.0,12.0,0.97,0.0,151
0.0,1.0,100.0,1.41,98.0,88
1.0,1.0,2.0,0.06,0.0,185
1.0,1.0,19.0,1.23,177.0,194
1.0,1.0,19.0,0.55,281.0,125
1.0,3.0,14.0,1.07,0.0,300
1.0,2.0,13.0,0.52,0.0,149
1.0,3.0,2.0,0.08,0.0,125
1.0,2.0,1.0,0.05,0.0,110
1.0,2.0,20.0,0.82,341.0,2250
0.0,1.0,7.0,0.76,85.0,80
1.0,5.0,3.0,0.25,12.0,398
1.0,2.0,8.0,0.18,0.0,160
1.0,1.0,2.0,0.08,0.0,275
1.0,3.0,1.0,1.0,0.0,270
1.0,8.0,33.0,1.21,8.0,159
0.0,1.0,8.0,1.26,96.0,79
1.0,3.0,36.0,1.01,53.0,225
1.0,3.0,10.0,0.3,188.0,95
1.0,3.0,59.0,1.49,184.0,245
1.0,2.0,6.0,0.21,176.0,175
1.0,2.0,98.0,1.88,33.0,199
1.0,1.0,1.0,0.02,0.0,180
1.0,4.0,70.0,0.86,198.0,144
1.0,3.0,9.0,2.13,191.0,125
1.0,2.0,4.0,1.97,65.0,68
1.0,4.0,15.0,1.73,12.0,89
1.0,2.0,6.0,1.26,0.0,250
1.0,2.0,1.0,0.34,159.0,254
0.0,2.0,76.0,1.31,102.0,80
1.0,1.0,1.0,0.02,0.0,125
1.0,2.0,2.0,0.05,0.0,70
0.0,1.0,20.0,1.27,89.0,75
1.0,4.0,16.0,0.32,0.0,130
0.0,1.0,2.0,0.11,0.0,47
0.0,4.0,2.0,0.04,0.0,50
0.0,2.0,1.0,0.07,156.0,65
0.0,1.0,67.0,4.29,0.0,159
0.0,2.0,6.0,1.41,12.0,95
1.0,1.0,50.0,0.72,265.0,225
1.0,3.0,86.0,1.29,223.0,89
0.0,1.0,2.0,0.17,0.0,70
1.0,7.0,4.0,0.06,0.0,350
1.0,1.0,7.0,0.51,0.0,175
0.0,3.0,34.0,1.6,195.0,85
0.0,1.0,20.0,0.63,252.0,55
1.0,6.0,18.0,0.53,11.0,140
1.0,2.0,66.0,1.68,360.0,105
0.0,5.0,1.0,0.16,0.0,150
1.0,2.0,62.0,2.01,294.0,308
0.0,3.0,8.0,0.22,10.0,142
1.0,2.0,2.0,2.0,169.0,79
1.0,3.0,30.0,3.96,81.0,129
0.0,2.0,8.0,2.55,324.0,90
0.0,3.0,19.0,0.55,278.0,38
0.0,2.0,1.0,0.03,0.0,100
0.0,7.0,11.0,0.37,0.0,119
2.0,1.0,4.0,0.56,365.0,100
0.0,4.0,16.0,0.32,339.0,125
1.0,3.0,30.0,0.28,248.0,195
1.0,3.0,2.0,0.1,0.0,140
0.0,1.0,29.0,3.49,80.0,80
0.0,4.0,5.0,0.25,360.0,29
0.0,2.0,16.0,0.85,3.0,70
1.0,6.0,29.0,0.53,89.0,500
1.0,1.0,207.0,5.01,245.0,200
1.0,2.0,41.0,1.24,23.0,99
0.0,5.0,86.0,1.67,0.0,44
1.0,2.0,15.0,3.69,300.0,200
0.0,2.0,13.0,0.93,141.0,38
1.0,2.0,23.0,3.17,311.0,250
1.0,2.0,14.0,0.41,363.0,150
0.0,10.0,8.0,0.44,153.0,50
0.0,2.0,110.0,4.75,222.0,120
1.0,1.0,4.0,0.27,216.0,153
1.0,2.0,3.0,1.14,5.0,180
1.0,3.0,1.0,1.0,0.0,80
1.0,1.0,1.0,0.3,188.0,215
1.0,2.0,5.0,0.66,11.0,450
0.0,1.0,7.0,0.95,166.0,199
1.0,1.0,8.0,0.29,0.0,142
1.0,3.0,111.0,1.63,191.0,555
0.0,3.0,2.0,0.05,0.0,54
1.0,2.0,62.0,1.62,231.0,225
0.0,3.0,35.0,4.1,5.0,60
1.0,3.0,3.0,1.14,19.0,154
1.0,3.0,193.0,3.61,344.0,249
0.0,2.0,21.0,1.2,28.0,69
1.0,3.0,19.0,0.41,0.0,151
1.0,1.0,17.0,3.57,0.0,135
1.0,5.0,33.0,1.18,35.0,180
0.0,2.0,22.0,1.77,40.0,120
0.0,4.0,3.0,0.11,0.0,175
1.0,2.0,33.0,2.63,304.0,150
1.0,2.0,31.0,0.54,0.0,150
0.0,4.0,5.0,0.22,27.0,154
0.0,3.0,119.0,3.19,3.0,30
0.0,5.0,43.0,3.61,365.0,70
1.0,3.0,1.0,0.81,23.0,150
0.0,5.0,1.0,0.02,0.0,44
